NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-12,2015-08-01,90,13473.27,636.68333,21.16165032937175,70.12730395729352,151.93941114517855,19157.45,19536.3,16996.48,17389.006666666668,12494.51,False
15/9-F-12,2015-09-01,91,12494.51,719.32486,17.369773651365257,73.72888109239996,151.11026042637926,13473.27,19157.45,19536.3,15041.743333333334,11888.63,False
15/9-F-12,2015-10-01,92,11888.63,738.66667,16.094715631341536,76.24162790581488,153.1991617200636,12494.51,13473.27,19157.45,12618.803333333335,11369.48,False
15/9-F-12,2015-11-01,93,11369.48,719.50001,15.80191777898655,76.81211323711587,153.77232292066128,11888.63,12494.51,13473.27,11917.54,10855.97,False
15/9-F-12,2015-12-01,94,10855.97,731.33334,14.84407917188624,77.45102865426345,153.13723048239817,11369.48,11888.63,12494.51,11371.36,9494.98,False
15/9-F-12,2016-01-01,95,9494.98,736.49999,12.892030046056076,80.40851883551045,156.64488603451508,10855.97,11369.48,11888.63,10573.476666666667,7644.12,False
15/9-F-12,2016-02-01,96,7644.12,695.58333,10.989510056257386,82.18053326085061,157.7093373730397,9494.98,10855.97,11369.48,9331.69,7359.93,False
15/9-F-12,2016-03-01,97,7359.93,743.0,9.905693135935396,84.62425371559696,161.12837486226093,7644.12,9494.98,10855.97,8166.343333333333,6152.17,False
15/9-F-12,2016-04-01,98,6152.17,718.83333,8.558548613765586,85.784601535045,164.98802211252288,7359.93,7644.12,9494.98,7052.073333333334,5865.13,False
15/9-F-12,2016-05-01,99,5865.13,740.5,7.920499662390277,86.03969589347655,157.7993735859222,6152.17,7359.93,7644.12,6459.076666666668,5408.31,False
15/9-F-12,2016-06-01,100,5408.31,703.25833,7.690360382933538,86.48488783199839,160.96218596936936,5865.13,6152.17,7359.93,5808.536666666667,4533.82,False
15/9-F-12,2016-07-01,101,4533.82,703.72593,6.442593354489581,86.84858153971109,160.86195746633084,5408.31,5865.13,6152.17,5269.086666666666,1442.03,False
15/9-F-12,2016-08-01,102,1442.03,285.89167,5.043973474288356,88.35115763011575,161.2710623218657,4533.82,5408.31,5865.13,3794.72,0.0,True
15/9-F-14,2008-07-01,0,51285.08,437.57,117.20428731402976,0.2454132120887938,146.9991090976167,,,,,67621.2,False
15/9-F-14,2008-08-01,1,67621.2,458.4,147.51570680628274,0.3280037816316998,144.63707151011812,51285.08,,,,114596.26,False
15/9-F-14,2008-09-01,2,114596.26,642.70833,178.30212345310662,0.2400324047663839,142.5920422708385,67621.2,51285.08,,77834.18,142817.06,False
15/9-F-14,2008-10-01,3,142817.06,742.5,192.3462087542088,0.0708446664391707,142.32799862985556,114596.26,67621.2,51285.08,108344.83999999998,104409.61,False
15/9-F-14,2008-11-01,4,104409.61,717.83333,145.45104780799184,0.1815400647230627,142.76482796937944,142817.06,114596.26,67621.2,120607.64333333333,110199.28,False
15/9-F-14,2008-12-01,5,110199.28,744.0,148.117311827957,0.0603450824561954,144.79453450149583,104409.61,142817.06,114596.26,119141.98333333332,115572.66,False
15/9-F-14,2009-01-01,6,115572.66,705.16665,163.89410928608152,0.8389414197885979,144.65752825971126,110199.28,104409.61,142817.06,110060.51666666666,113880.98,False
15/9-F-14,2009-02-01,7,113880.98,638.41668,178.38033304518294,2.172695833750679,142.73127470452044,115572.66,110199.28,104409.61,113217.64,90644.44,False
15/9-F-14,2009-03-01,8,90644.44,530.80333,170.76840870610215,1.8177237406958056,140.13505097499635,113880.98,115572.66,110199.28,106699.36,86944.06,False
15/9-F-14,2009-04-01,9,86944.06,537.63334,161.71627302726426,0.2826797818524558,137.17620479190873,90644.44,113880.98,115572.66,97156.49333333332,116175.04,False
15/9-F-14,2009-05-01,10,116175.04,694.66667,167.23854046430642,2.8759331285041045,137.24590781290027,86944.06,90644.44,113880.98,97921.18,86654.03,False
15/9-F-14,2009-06-01,11,86654.03,691.89998,125.24068869029306,6.203568731401921,140.1190586288947,116175.04,86944.06,90644.44,96591.04333333332,64871.82,False
15/9-F-14,2009-07-01,12,64871.82,742.16666,87.4086960467882,9.453238243523058,140.7060953430935,86654.03,116175.04,86944.06,89233.62999999999,112493.5,False
15/9-F-14,2009-08-01,13,112493.5,656.82498,171.2686079631137,15.600723489893408,139.24912826074396,64871.82,86654.03,116175.04,88006.45,90349.8,False
15/9-F-14,2009-09-01,14,90349.8,509.07501,177.47836414126868,14.461436270930722,139.0665307504831,112493.5,64871.82,86654.03,89238.37333333331,96707.32,False
15/9-F-14,2009-10-01,15,96707.32,655.42499,147.54902769270365,21.25220204357461,140.1815790159421,90349.8,112493.5,64871.82,99850.20666666668,98043.5,False
15/9-F-14,2009-11-01,16,98043.5,709.25001,138.23545804391318,28.466703803700494,140.97705263479986,96707.32,90349.8,112493.5,95033.54,89514.35,False
15/9-F-14,2009-12-01,17,89514.35,726.66667,123.18488475603266,38.55740258773952,140.23346848857193,98043.5,96707.32,90349.8,94755.05666666666,82221.25,False
15/9-F-14,2010-01-01,18,82221.25,742.16666,110.78542655095823,45.98717126135512,140.6120913997294,89514.35,98043.5,96707.32,89926.36666666665,62092.98,False
15/9-F-14,2010-02-01,19,62092.98,610.175,101.762576310075,49.96263696254823,140.9378047244632,82221.25,89514.35,98043.5,77942.86,66989.25,False
15/9-F-14,2010-03-01,20,66989.25,654.10832,102.4130835088598,49.07700564271711,140.64652701739456,62092.98,82221.25,89514.35,70434.49333333333,73035.81,False
15/9-F-14,2010-04-01,21,73035.81,679.80833,107.43588564147193,48.890666497225496,140.8688480349571,66989.25,62092.98,82221.25,67372.68,87809.28,False
15/9-F-14,2010-05-01,22,87809.28,740.16667,118.6344691797592,49.27975623585124,142.24346116948004,73035.81,66989.25,62092.98,75944.77999999998,75309.81999999999,False
15/9-F-14,2010-06-01,23,75309.81999999999,717.75,104.9248624172762,56.18738973373435,142.83099866657497,87809.28,73035.81,66989.25,78718.30333333332,69600.25,False
