NPD_WELL_BORE_NAME,YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
15/9-F-14,2016-07,1326.86,37892.52,2016-07-01,39219.38,96.61682566119097
15/9-F-14,2016-08,0.0,0.0,2016-08-01,0.0,
15/9-F-14,2016-09,0.0,0.0,2016-09-01,0.0,
15/9-F-15 D,2014-01,5674.63,0.0,2014-01-01,5674.63,0.0
15/9-F-15 D,2014-02,7898.6,0.0,2014-02-01,7898.6,0.0
15/9-F-15 D,2014-03,7081.47,0.0,2014-03-01,7081.47,0.0
15/9-F-15 D,2014-04,7163.3,0.0,2014-04-01,7163.3,0.0
15/9-F-15 D,2014-05,7218.61,0.0,2014-05-01,7218.61,0.0
15/9-F-15 D,2014-06,7012.55,0.0,2014-06-01,7012.55,0.0
15/9-F-15 D,2014-07,6847.42,0.0,2014-07-01,6847.42,0.0
15/9-F-15 D,2014-08,3475.39,0.0,2014-08-01,3475.39,0.0
15/9-F-15 D,2014-09,5314.55,0.0,2014-09-01,5314.55,0.0
15/9-F-15 D,2014-10,5732.97,182.78,2014-10-01,5915.75,3.089718125343363
15/9-F-15 D,2014-11,4716.31,192.87,2014-11-01,4909.18,3.9287620335779088
15/9-F-15 D,2014-12,0.0,0.0,2014-12-01,0.0,
15/9-F-15 D,2015-01,5975.51,207.79,2015-01-01,6183.3,3.3605032911228627
15/9-F-15 D,2015-02,4581.29,258.99,2015-02-01,4840.28,5.350723511862951
15/9-F-15 D,2015-03,4133.47,309.74,2015-03-01,4443.21,6.971086219197383
15/9-F-15 D,2015-04,4259.92,318.03,2015-04-01,4577.95,6.9469959261241385
15/9-F-15 D,2015-05,4057.96,301.77,2015-05-01,4359.73,6.921758916263164
15/9-F-15 D,2015-06,3665.8,291.57,2015-06-01,3957.3700000000003,7.367772030414138
15/9-F-15 D,2015-07,2238.45,184.75,2015-07-01,2423.2,7.624215912842523
15/9-F-15 D,2015-08,3577.67,1856.58,2015-08-01,5434.25,34.16442011317109
15/9-F-15 D,2015-09,7417.35,3986.62,2015-09-01,11403.970000000001,34.95817684543189
15/9-F-15 D,2015-10,6346.83,3628.62,2015-10-01,9975.45,36.37550185705908
15/9-F-15 D,2015-11,3926.0099999999998,2740.47,2015-11-01,6666.48,41.10820102962883
15/9-F-15 D,2015-12,4919.04,5075.94,2015-12-01,9994.98,50.784894016796436
15/9-F-15 D,2016-01,2890.93,3648.91,2016-01-01,6539.84,55.795095904486956
15/9-F-15 D,2016-02,5109.33,5891.02,2016-02-01,11000.35,53.55302331289459
15/9-F-15 D,2016-03,3747.55,5035.04,2016-03-01,8782.59,57.32978540498873
15/9-F-15 D,2016-04,4544.16,5688.1,2016-04-01,10232.26,55.58986968665769
15/9-F-15 D,2016-05,4699.01,6004.13,2016-05-01,10703.14,56.096902404341165
15/9-F-15 D,2016-06,3463.91,5390.5,2016-06-01,8854.41,60.879268070938664
15/9-F-15 D,2016-07,828.57,1172.18,2016-07-01,2000.75,58.58702986380108
15/9-F-15 D,2016-08,0.0,0.0,2016-08-01,0.0,
15/9-F-15 D,2016-09,0.0,0.0,2016-09-01,0.0,
15/9-F-5,2016-04,3400.61,2380.78,2016-04-01,5781.39,41.1800622341686
15/9-F-5,2016-05,9724.4,3949.9,2016-05-01,13674.3,28.885573667390656
15/9-F-5,2016-06,9121.48,2376.93,2016-06-01,11498.41,20.671814624804647
15/9-F-5,2016-07,9985.289999999999,2453.71,2016-07-01,12439.0,19.72594259988745
15/9-F-5,2016-08,8928.9,2371.86,2016-08-01,11300.76,20.988499888503075
15/9-F-5,2016-09,0.0,0.0,2016-09-01,0.0,
